22313,CCOS 003,Algebra Superior,OO4,A,0700-0859,REYES - GARCES LUZ DEL CARMEN,1CCO4/303
22313,CCOS 003,Algebra Superior,OO4,J,0700-0859,REYES - GARCES LUZ DEL CARMEN,1CCO4/303
12186,CCOS 003,Algebra Superior,OO5,L,1100-1159,ESPINDOLA - POZOS ARMANDO,1CCO4/303
12186,CCOS 003,Algebra Superior,OO5,M,1100-1259,ESPINDOLA - POZOS ARMANDO,1CCO4/204
12186,CCOS 003,Algebra Superior,OO5,V,1100-1259,ESPINDOLA - POZOS ARMANDO,1CCO4/303
12075,CCOS 003,Algebra Superior,OO6,L,0700-0759,REYES - GARCES LUZ DEL CARMEN,1CCO4/102
12075,CCOS 003,Algebra Superior,OO6,M,0700-0859,REYES - GARCES LUZ DEL CARMEN,1CCO4/102
12075,CCOS 003,Algebra Superior,OO6,V,0700-0859,REYES - GARCES LUZ DEL CARMEN,1CCO4/102
12236,CCOS 003,Algebra Superior,OO7,L,1300-1359,GONZALEZ - VELAZQUEZ ROGELIO,1CCO4/102
12236,CCOS 003,Algebra Superior,OO7,M,1300-1459,GONZALEZ - VELAZQUEZ ROGELIO,1CCO4/102
12236,CCOS 003,Algebra Superior,OO7,V,1300-1459,GONZALEZ - VELAZQUEZ ROGELIO,1CCO4/102
12757,CCOS 003,Algebra Superior,OO8,L,1400-1459,GONZALEZ - TZONTECOMANI JOSE ISMAEL,1CCO4/102
12757,CCOS 003,Algebra Superior,OO8,A,1300-1459,GONZALEZ - TZONTECOMANI JOSE ISMAEL,1CCO4/102
12757,CCOS 003,Algebra Superior,OO8,J,1300-1459,GONZALEZ - TZONTECOMANI JOSE ISMAEL,1CCO4/102
12263,CCOS 003,Algebra Superior,OO9,L,1500-1559,ROMAN - FLORES ALBERTO,1CCO4/103
12263,CCOS 003,Algebra Superior,OO9,M,1500-1659,ROMAN - FLORES ALBERTO,1CCO4/103
12263,CCOS 003,Algebra Superior,OO9,V,1500-1659,ROMAN - FLORES ALBERTO,1CCO4/103
11019,ISCO 201,Analisis y Diseno de Algoritm,OO1,L,0700-0759,SANCHEZ - LOPEZ ABRAHAM,1CCO1/002
11019,ISCO 201,Analisis y Diseno de Algoritm,OO1,M,0700-0859,SANCHEZ - LOPEZ ABRAHAM,1CCO1/002
11019,ISCO 201,Analisis y Diseno de Algoritm,OO1,V,0700-0859,SANCHEZ - LOPEZ ABRAHAM,1CCO1/002
12552,ISCO 201,Analisis y Diseno de Algoritm,OO3,L,1100-1159,LAVALLE - MARTINEZ JOSE DE JESUS,1CCO5/203
12552,ISCO 201,Analisis y Diseno de Algoritm,OO3,M,1100-1259,LAVALLE - MARTINEZ JOSE DE JESUS,1CCO5/203
