50875;ITIS 252;Administrac. de Bases de Datos;OO1;L;1800-1859;ELVIRA - ENRIQUEZ ROBERTO;1CCO4/304
50875;ITIS 252;Administrac. de Bases de Datos;OO1;A;1700-1859;ELVIRA - ENRIQUEZ ROBERTO;1CCO4/304
50875;ITIS 252;Administrac. de Bases de Datos;OO1;J;1700-1859;ELVIRA - ENRIQUEZ ROBERTO;1CCO4/304
58195;ITIS 252;Administrac. de Bases de Datos;OO2;L;1700-1759;RODRIGUEZ - BERNAL FERNANDO;1EMA5/205
58195;ITIS 252;Administrac. de Bases de Datos;OO2;M;1700-1859;RODRIGUEZ - BERNAL FERNANDO;1EMA5/205
58195;ITIS 252;Administrac. de Bases de Datos;OO2;V;1700-1859;RODRIGUEZ - BERNAL FERNANDO;1EMA5/205
50896;IDDS 001;Administracion de Proyectos;101;A;0700-0859;VAZQUEZ - RAMIREZ JESUS;1CCO1/004
50896;IDDS 001;Administracion de Proyectos;101;J;0700-0859;VAZQUEZ - RAMIREZ JESUS;1CCO1/004
51429;IDDS 001;Administracion de Proyectos;102;A;0900-1059;AMBROSIO - VAZQUEZ ALMA DELIA;1CCO5/203
51429;IDDS 001;Administracion de Proyectos;102;J;0900-1059;AMBROSIO - VAZQUEZ ALMA DELIA;1CCO5/203
51438;IDDS 001;Administracion de Proyectos;104;M;1700-1859;MOLINA - GARCIA MARIA DEL CONSUELO;1CCO1/002
51438;IDDS 001;Administracion de Proyectos;104;V;1700-1859;MOLINA - GARCIA MARIA DEL CONSUELO;1CCO1/002
51441;IDDS 001;Administracion de Proyectos;105;A;1700-1859;CASTILLO - AVILA ARLEM ALEIDA;1CCO5/201
51441;IDDS 001;Administracion de Proyectos;105;J;1700-1859;CASTILLO - AVILA ARLEM ALEIDA;1CCO5/201
58337;IDDS 001;Administracion de Proyectos;106;M;1100-1259;ROSALES - LOPEZ KARINA;1CCO1/001
58337;IDDS 001;Administracion de Proyectos;106;V;1100-1259;ROSALES - LOPEZ KARINA;1CCO1/001
58340;IDDS 001;Administracion de Proyectos;107;M;1500-1659;ROSALES - LOPEZ KARINA;1CCO5/203
58340;IDDS 001;Administracion de Proyectos;107;V;1500-1659;ROSALES - LOPEZ KARINA;1CCO5/203
57372;IDDS 001;Administracion de Proyectos;108;A;1900-2059;GARCIA - LOPEZ MARGARITA CARMINA;1CCO4/102
57372;IDDS 001;Administracion de Proyectos;108;J;1900-2059;GARCIA - LOPEZ MARGARITA CARMINA;1CCO4/102
58583;IDDS 001;Administracion de Proyectos;109;M;0900-1059;VERA - CERVANTES EUGENIA ERICA;1CCO4/206
58583;IDDS 001;Administracion de Proyectos;109;V;0900-1059;VERA - CERVANTES EUGENIA ERICA;1CCO4/206
58584;IDDS 001;Administracion de Proyectos;110;A;1300-1459;VILLAVICENCIO - RAMOS BERTHA MARIA DE LOURDES;1CCO1/002
58584;IDDS 001;Administracion de Proyectos;110;J;1300-1459;VILLAVICENCIO - RAMOS BERTHA MARIA DE LOURDES;1CCO1/004
50928;ISTI 201;Administracion de Redes;OO1;L;1100-1159;ZENTENO - VAZQUEZ ANA CLAUDIA;1CCO1/004
50928;ISTI 201;Administracion de Redes;OO1;M;1100-1259;ZENTENO - VAZQUEZ ANA CLAUDIA;1CCO3/302
50928;ISTI 201;Administracion de Redes;OO1;V;1100-1259;ZENTENO - VAZQUEZ ANA CLAUDIA;1CCO1/004
54765;ISTI 201;Administracion de Redes;OO2;L;1800-1859;AGUILAR - RICO ADOLFO;1CCO3/302
54765;ISTI 201;Administracion de Redes;OO2;A;1700-1859;AGUILAR - RICO ADOLFO;1CCO3/302
54765;ISTI 201;Administracion de Redes;OO2;J;1700-1859;AGUILAR - RICO ADOLFO;1CCO3/302
50998;ITIS 254;Admon. de Sistemas Operativos;OO1;L;1600-1659;ELVIRA - ENRIQUEZ ROBERTO;1CCO1/001
50998;ITIS 254;Admon. de Sistemas Operativos;OO1;A;1500-1659;ELVIRA - ENRIQUEZ ROBERTO;1CCO1/001
50998;ITIS 254;Admon. de Sistemas Operativos;OO1;J;1500-1659;ELVIRA - ENRIQUEZ ROBERTO;1CCO3/109
50998;ITIS 254;Admon. de Sistemas Operativos;OO1;S;1500-1559;ELVIRA - ENRIQUEZ ROBERTO;1CCO3/109
51008;ITIS 254;Admon. de Sistemas Operativos;OO2;L;1200-1259;BAUTISTA - LOPEZ VERONICA EDITH;1EMA5/205
51008;ITIS 254;Admon. de Sistemas Operativos;OO2;A;1100-1259;BAUTISTA - LOPEZ VERONICA EDITH;1EMA5/205
51008;ITIS 254;Admon. de Sistemas Operativos;OO2;J;1100-1259;BAUTISTA - LOPEZ VERONICA EDITH;1EMA5/205
51008;ITIS 254;Admon. de Sistemas Operativos;OO2;S;1100-1159;BAUTISTA - LOPEZ VERONICA EDITH;1CCO4/101
58308;ITIS 005;Algebra Lineal con Aplicacione;OO1;L;1000-1059;ROMERO - TEHUITZIL OLIVIA;1EMA5/206
58308;ITIS 005;Algebra Lineal con Aplicacione;OO1;A;0900-1059;ROMERO - TEHUITZIL OLIVIA;1EMA5/206
58308;ITIS 005;Algebra Lineal con Aplicacione;OO1;J;0900-1059;ROMERO - TEHUITZIL OLIVIA;1EMA5/206
54931;ITIS 005;Algebra Lineal con Aplicacione;OO2;L;1500-1559;AYAQUICA - MARTINEZ IRENE OLAYA;1CCO1/004
54931;ITIS 005;Algebra Lineal con Aplicacione;OO2;M;1500-1659;AYAQUICA - MARTINEZ IRENE OLAYA;1CCO1/004
54931;ITIS 005;Algebra Lineal con Aplicacione;OO2;V;1500-1659;AYAQUICA - MARTINEZ IRENE OLAYA;1CCO1/004
